!CSV A.01.01
!Keysight Technologies,N5247B,MY63057157,A.17.10.07
!Date: Monday, September, 01, 2025 16:03:53
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",19,,,,,,,
"Num Power Points:",32,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2
3e+009,-14.1449,173.593,-25.7913,-90.4328,3.3194,-124.158,29.1107,-33.7255,-0.00334394,0.0461333,0,0
3e+009,-14.1508,173.657,-24.789,49.6067,4.32341,15.8903,29.1124,-33.7164,-0.00161533,0.0552666,0,0
3e+009,-14.1613,173.751,-23.7961,-119.754,5.31645,-153.462,29.1126,-33.708,-0.0014584,0.0636509,0,0
3e+009,-14.1658,173.821,-22.7983,-163.928,6.31263,162.388,29.1109,-33.6846,-0.00310561,0.0870025,0,0
3e+009,-14.1701,173.839,-21.804,68.3933,7.30664,34.7214,29.1106,-33.6719,-0.00344679,0.0997434,0,0
3e+009,-14.1809,173.931,-20.8013,24.1387,8.30958,-9.50366,29.1109,-33.6424,-0.00318126,0.129292,0,0
3e+009,-14.1866,174.021,-19.8079,-61.76,9.30467,-95.3951,29.1125,-33.6352,-0.00151822,0.136488,0,0
3e+009,-14.2094,174.097,-18.8093,-13.6532,10.3005,-47.2738,29.1099,-33.6207,-0.00419089,0.150981,0,0
3e+009,-14.2298,174.253,-17.809,126.472,11.3001,92.8601,29.109,-33.6121,-0.00501649,0.159581,0,0
3e+009,-14.2455,174.442,-16.8133,-134.895,12.2964,-168.501,29.1097,-33.6067,-0.00434299,0.164966,0,0
3e+009,-14.2703,174.643,-15.8166,-170.056,13.288,156.339,29.1046,-33.6049,-0.00943584,0.166694,0,0
3e+009,-14.299,174.918,-14.8228,-71.3858,14.2746,-105.022,29.0974,-33.6362,-0.0166837,0.135472,0,0
3e+009,-14.3255,175.275,-13.8281,-65.0071,15.2583,-98.6807,29.0864,-33.6736,-0.0276786,0.0980775,0,0
3e+009,-14.3445,175.765,-12.8329,75.5113,16.2328,41.7649,29.0656,-33.7464,-0.0484024,0.0252038,0,0
3e+009,-14.3309,176.542,-11.837,174.217,17.1856,140.371,29.0226,-33.846,-0.0914742,-0.0743555,0,0
3e+009,-14.2187,177.827,-10.8474,-179.323,18.0868,146.671,28.9342,-34.0057,-0.17986,-0.234072,0,0
3e+009,-13.8833,-179.872,-9.86666,-172.76,18.8779,152.946,28.7445,-34.2936,-0.3695,-0.521929,0,0
3e+009,-13.1456,-175.805,-8.88747,101.656,19.4622,66.8344,28.3496,-34.8212,-0.764419,-1.04958,0,0
3e+009,-11.9462,-168.702,-7.92468,16.0953,19.7652,-19.4361,27.6899,-35.5314,-1.42419,-1.75971,0,0
3e+009,-10.4935,-158.243,-6.97862,-111.136,19.8084,-147.435,26.7871,-36.2983,-2.327,-2.52667,0,0
3e+009,-9.1061,-146.997,-6.03927,-62.7966,19.7102,-100.304,25.7495,-37.5071,-3.36456,-3.73549,0,0
3e+009,-7.85632,-136.928,-5.09543,169.978,19.5207,130.555,24.6161,-39.4233,-4.49795,-5.65162,0,0
3e+009,-6.68103,-128.445,-4.15054,135.153,19.1417,93.0883,23.2922,-42.0643,-5.82183,-8.29269,0,0
3e+009,-5.59439,-121.746,-3.19991,7.85914,18.4541,-37.3631,21.654,-45.2222,-7.46001,-11.4506,0,0
3e+009,-4.71213,-116.893,-2.23398,-119.353,17.3955,-167.906,19.6295,-48.5529,-9.48459,-14.7813,0,0
3e+009,-4.19352,-113.887,-1.24982,113.35,16.2448,61.8352,17.4947,-51.515,-11.6194,-17.7434,0,0
3e+009,-4.01365,-112.183,-0.253875,-13.863,15.3388,-66.999,15.5927,-53.136,-13.5214,-19.3643,0,0
3e+009,-4.03386,-110.903,0.74572,84.8465,14.6869,31.2092,13.9412,-53.6373,-15.1729,-19.8657,0,0
3.5e+009,-15.5107,160.349,-29.6666,104.692,-0.673015,50.4842,28.9936,-54.2083,0,0,0,0
3.5e+009,-15.5431,160.372,-28.6154,-154.081,0.371232,151.705,28.9866,-54.2141,-0.0069728,-0.00585547,0,0
3.5e+009,-15.516,160.39,-27.6399,80.7187,1.3525,26.5101,28.9924,-54.2085,-0.00121526,-0.000291036,0,0
3.5e+009,-15.516,160.626,-26.6627,-44.497,2.33312,-98.694,28.9958,-54.1971,0.00222407,0.0111894,0,0
3.5e+009,-15.519,160.586,-25.7018,-169.776,3.29046,136.042,28.9923,-54.1811,-0.00131003,0.027135,0,0
3.5e+009,-15.5342,160.642,-24.7218,-27.1208,4.26851,-81.2862,28.9903,-54.1654,-0.00331286,0.0428919,0,0
3.5e+009,-15.5341,160.633,-23.7484,166.127,5.24553,111.96,28.9939,-54.1666,0.000338575,0.0416394,0,0
3.5e+009,-15.5251,160.786,-22.7656,124.388,6.22858,70.2545,28.9942,-54.1334,0.00060776,0.0748644,0,0
3.5e+009,-15.5357,160.819,-21.7753,-0.643022,7.21641,-54.7595,28.9917,-54.1165,-0.00192997,0.0917281,0,0
3.5e+009,-15.5433,160.941,-20.7864,-42.4108,8.2057,-96.5002,28.9921,-54.0894,-0.00153868,0.118886,0,0
3.5e+009,-15.5471,161.018,-19.7949,-125.776,9.19614,-179.842,28.9911,-54.0663,-0.00253653,0.14199,0,0
3.5e+009,-15.5578,161.139,-18.8016,-75.2382,10.1873,-129.276,28.9889,-54.0379,-0.00467156,0.170313,0,0
3.5e+009,-15.574,161.362,-17.8101,67.4743,11.1782,13.4584,28.9883,-54.0159,-0.00534019,0.192328,0,0
3.5e+009,-15.5937,161.507,-16.8167,168.61,12.1697,114.601,28.9863,-54.0093,-0.00726139,0.198967,0,0
3.5e+009,-15.613,161.762,-15.828,135.939,13.1516,81.9402,28.9795,-53.999,-0.0140838,0.209261,0,0
3.5e+009,-15.6274,162.011,-14.84,-123.054,14.1337,-177.064,28.9738,-54.0101,-0.019846,0.198107,0,0
3.5e+009,-15.6607,162.376,-13.8478,-114.143,15.113,-168.196,28.9608,-54.0533,-0.0327882,0.154982,0,0
3.5e+009,-15.6737,162.882,-12.8554,28.768,16.0863,-25.3544,28.9416,-54.1224,-0.0519625,0.0858532,0,0
3.5e+009,-15.6617,163.581,-11.8597,129.822,17.0435,75.5871,28.9032,-54.235,-0.090452,-0.0267066,0,0
3.5e+009,-15.5689,164.733,-10.8616,138.743,17.9656,84.2578,28.8272,-54.4855,-0.166403,-0.277219,0,0
3.5e+009,-15.2423,166.879,-9.86282,147.77,18.7974,92.8529,28.6603,-54.9169,-0.333338,-0.708634,0,0
3.5e+009,-14.445,170.513,-8.88372,64.5101,19.4332,9.06276,28.317,-55.4474,-0.676653,-1.2391,0,0
3.5e+009,-13.0524,176.385,-7.90358,-18.7276,19.7856,-75.0006,27.6892,-56.2731,-1.30438,-2.06481,0,0
3.5e+009,-11.2896,-174.11,-6.92982,-143.836,19.8424,158.994,26.7722,-57.1697,-2.22139,-2.96146,0,0
3.5e+009,-9.54834,-162.661,-5.95616,-93.278,19.6952,-151.565,25.6514,-58.2873,-3.34222,-4.07902,0,0
3.5e+009,-8.09417,-152.465,-4.9804,141.501,19.4786,81.3888,24.459,-60.1123,-4.53465,-5.90402,0,0
3.5e+009,-6.8702,-144.3,-3.9981,108.667,19.166,45.9275,23.1641,-62.7394,-5.82951,-8.53113,0,0
3.5e+009,-5.83644,-138.149,-3.02277,-16.6422,18.6855,-82.6187,21.7083,-65.9765,-7.28532,-11.7683,0,0
3.5e+009,-5.04079,-134.184,-2.04135,-141.787,18.0384,148.794,20.0797,-69.4196,-8.9139,-15.2113,0,0
3.5e+009,-4.53206,-132.239,-1.05368,93.068,17.3235,20.4274,18.3771,-72.6406,-10.6165,-18.4323,0,0
3.5e+009,-4.28827,-131.591,-0.0615273,-31.9715,16.6559,-107.281,16.7174,-75.3095,-12.2762,-21.1013,0,0
3.5e+009,-4.23785,-131.315,0.928335,68.8634,16.1047,-8.16505,15.1763,-77.0284,-13.8173,-22.8202,0,0
4e+009,-17.0569,150.963,-29.7427,54.4371,-0.847877,-18.4529,28.8948,-72.89,0,0,0,0
4e+009,-17.0587,150.785,-28.7096,155.511,0.183417,82.646,28.8931,-72.8647,-0.00176941,0.0253246,0,0
4e+009,-17.0408,150.78,-27.7296,30.26,1.16482,-42.6072,28.8945,-72.8671,-0.000356982,0.0229084,0,0
4e+009,-17.0708,150.941,-26.7587,-95.0277,2.1334,-167.872,28.8921,-72.8447,-0.0026909,0.0452978,0,0
4e+009,-17.0609,151.065,-25.8,139.661,3.09436,66.8327,28.8944,-72.8281,-0.000463901,0.0619103,0,0
4e+009,-17.071,150.963,-24.8232,-77.7174,4.07236,-150.519,28.8956,-72.8016,0.000726817,0.088394,0,0
4e+009,-17.0595,151.15,-23.8344,115.533,5.06013,42.7312,28.8946,-72.8016,-0.000268705,0.0884729,0,0
4e+009,-17.0656,151.22,-22.8521,73.7223,6.04238,0.946047,28.8945,-72.7763,-0.000326693,0.113745,0,0
4e+009,-17.0651,151.331,-21.8648,-51.3082,7.02915,-124.045,28.8939,-72.7366,-0.000914906,0.153458,0,0
4e+009,-17.074,151.468,-20.876,-93.1038,8.01843,-165.81,28.8945,-72.7059,-0.000353876,0.184089,0,0
4e+009,-17.0739,151.613,-19.8838,-176.486,9.00859,110.835,28.8924,-72.6793,-0.00240806,0.210728,0,0
4e+009,-17.0814,151.802,-18.8929,-125.991,9.99941,161.364,28.8923,-72.6449,-0.00254767,0.24517,0,0
4e+009,-17.095,151.982,-17.8963,16.7697,10.9929,-55.8393,28.8892,-72.609,-0.00560741,0.28106,0,0
4e+009,-17.11,152.291,-16.902,117.863,11.9844,45.2694,28.8864,-72.5935,-0.00843044,0.296483,0,0
4e+009,-17.1329,152.601,-15.9105,85.1411,12.9695,12.5589,28.88,-72.5822,-0.0148282,0.307819,0,0
4e+009,-17.1591,152.971,-14.9203,-173.827,13.9516,113.57,28.8719,-72.6032,-0.0229484,0.286817,0,0
4e+009,-17.1839,153.395,-13.9262,-164.912,14.9316,122.438,28.8577,-72.6502,-0.0370986,0.239784,0,0
4e+009,-17.1933,153.958,-12.9324,-22.0259,15.9032,-94.7939,28.8356,-72.768,-0.0591883,0.12198,0,0
4e+009,-17.1636,154.666,-11.9341,79.0608,16.851,5.95428,28.7851,-73.1065,-0.109719,-0.216477,0,0
4e+009,-16.9961,156.061,-10.9338,87.9833,17.7338,14.1078,28.6676,-73.8755,-0.22723,-0.985508,0,0
4e+009,-16.5674,157.932,-9.94761,96.9277,18.5258,22.3519,28.4734,-74.5759,-0.421437,-1.68584,0,0
